rank,alert_type,cluster_id,description,keywords,growth_rate,recency,novelty,current_count,baseline_mean,statistical_score,top_products,top_companies,top_states,example_ids,grouping
1,surging,2102,"Topic 2102: information, belongs, incorrect, report",information; belongs; incorrect; report,17.38,0.60,0.0,643,37.0,1.000,Credit reporting or other personal consumer reports (1082); Credit reporting (107); Credit card (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (417); Experian Information Solutions Inc. (414); EQUIFAX, INC. (320)",FL (194); TX (161); CA (111),2464373; 2473711; 2478668; 2480690; 2480820,
2,surging,683,"Topic 683: incorrect, information, account, report",incorrect; information; account; report,8.68,0.29,0.0,220,25.3,1.000,Credit reporting or other personal consumer reports (670); Credit reporting (88); Mortgage (4),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (265); EQUIFAX, INC. (207); Experian Information Solutions Inc. (205)",FL (109); TX (102); CA (97),2470062; 2474360; 2474082; 2478466; 2484120,
3,volume_spike,,Volume spike: product=Debt collection,,1.27,0.00,0.0,252,199.2,0.798,,,,,product=Debt collection
4,surging,210,"Topic 210: investigation, problem, days, took, existing",investigation; problem; days; took; existing,3.30,0.25,0.0,11,3.3,1.000,Credit reporting or other personal consumer reports (56),"EQUIFAX, INC. (22); Experian Information Solutions Inc. (20); TRANSUNION INTERMEDIATE HOLDINGS, INC. (14)",CA (10); TX (8); FL (6),7891537; 7914330; 8118820; 8616065; 8846602,
5,surging,301,"Topic 301: investigation, problem, days, took, existing",investigation; problem; days; took; existing,3.14,0.25,0.0,11,3.5,1.000,Credit reporting or other personal consumer reports (63),"EQUIFAX, INC. (26); TRANSUNION INTERMEDIATE HOLDINGS, INC. (22); Experian Information Solutions Inc. (14)",TX (12); FL (8); GA (6),8203439; 8464034; 8505710; 9137407; 9894194,
6,surging,507,"Topic 507: investigation, problem, error, fix, did",investigation; problem; error; fix; did,6.67,0.35,0.0,10,1.5,1.000,Credit reporting or other personal consumer reports (34),"Experian Information Solutions Inc. (14); EQUIFAX, INC. (9); TRANSUNION INTERMEDIATE HOLDINGS, INC. (7)",PA (4); TN (4); NY (4),7554945; 7582759; 7788520; 7916152; 7915554,
7,surging,763,"Topic 763: investigation, problem, days, took, existing",investigation; problem; days; took; existing,20.00,0.57,0.0,10,0.5,1.000,Credit reporting or other personal consumer reports (23),"Experian Information Solutions Inc. (8); EQUIFAX, INC. (8); TRANSUNION INTERMEDIATE HOLDINGS, INC. (6)",FL (5); TX (4); MD (2),8793650; 8960857; 9448669; 9726462; 9971181,
8,surging,151,"Topic 151: investigation, problem, error, fix, did",investigation; problem; error; fix; did,3.86,0.17,0.0,9,2.3,1.000,Credit reporting or other personal consumer reports (62); Credit card (1),"Experian Information Solutions Inc. (29); TRANSUNION INTERMEDIATE HOLDINGS, INC. (17); EQUIFAX, INC. (15)",FL (10); TX (9); GA (7),7523261; 7585839; 7585603; 7588957; 7823226,
9,surging,479,"Topic 479: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.23,0.19,0.0,7,2.2,1.000,Credit reporting or other personal consumer reports (34); Credit reporting (3),"EQUIFAX, INC. (15); TRANSUNION INTERMEDIATE HOLDINGS, INC. (10); Experian Information Solutions Inc. (6)",FL (8); GA (5); NJ (4),5930976; 6200794; 6474768; 7843952; 8352851,
10,surging,574,"Topic 574: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.23,0.25,0.0,7,2.2,1.000,Credit reporting or other personal consumer reports (35); Credit reporting (5),"Experian Information Solutions Inc. (18); TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); EQUIFAX, INC. (7)",TX (6); GA (5); AL (3),5462083; 5673016; 6224844; 6452912; 6652276,
11,surging,577,"Topic 577: status, incorrect, account, information, report",status; incorrect; account; information; report,4.20,0.22,0.0,7,1.7,1.000,Credit reporting or other personal consumer reports (32); Credit reporting (6); Credit card (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); Experian Information Solutions Inc. (12); EQUIFAX, INC. (10)",TX (9); FL (4); CA (4),2676394; 3088826; 4175182; 5125117; 6851305,
12,surging,1417,"Topic 1417: status, incorrect, account, information, report",status; incorrect; account; information; report,5.25,0.31,0.0,7,1.3,1.000,Credit reporting or other personal consumer reports (26); Credit reporting (4); Credit card (2),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (15); Experian Information Solutions Inc. (7); EQUIFAX, INC. (6)",TX (7); NY (6); NJ (3),2916825; 4635701; 5386730; 7015443; 8148998,
13,surging,1778,"Topic 1778: information, belongs, incorrect, report",information; belongs; incorrect; report,6.00,0.29,0.0,7,1.2,1.000,Credit reporting or other personal consumer reports (24); Credit reporting (7),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (15); EQUIFAX, INC. (10); Experian Information Solutions Inc. (5)",TX (7); TN (3); GA (3),3232616; 3525388; 3797462; 3936905; 3986614,
14,surging,72,"Topic 72: investigation, problem, error, fix, did",investigation; problem; error; fix; did,4.50,0.19,0.0,6,1.3,1.000,Credit reporting or other personal consumer reports (53),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (24); EQUIFAX, INC. (19); Experian Information Solutions Inc. (8)",FL (13); CA (7); TX (5),7483403; 7542981; 7908069; 8071292; 8458747,
15,surging,311,"Topic 311: information, belongs, incorrect, report",information; belongs; incorrect; report,5.14,0.23,0.0,6,1.2,1.000,Credit reporting or other personal consumer reports (25); Credit reporting (5),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); EQUIFAX, INC. (12); Experian Information Solutions Inc. (3)",NY (5); TX (4); FL (4),3315038; 4825873; 5576375; 6102773; 6836378,
16,surging,361,"Topic 361: information, belongs, incorrect, report",information; belongs; incorrect; report,3.60,0.24,0.0,6,1.7,1.000,Credit reporting or other personal consumer reports (26); Credit reporting (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (16); Experian Information Solutions Inc. (7); EQUIFAX, INC. (4)",TX (6); FL (5); IL (2),4314064; 5529133; 7267102; 7921353; 10366642,
